scenario_number,stop_index,stop_id,stop_sequence,baseline_dwell_time,scenario_dwell_time
10,23,303733,24,5.54744424,5.477055141
10,24,303734,25,5.638684947,5.752922523
10,25,303735,26,6.322990248,6.434534363
10,26,303736,27,7.326638021,7.437806377
10,27,303737,28,6.870434488,6.844952525
10,28,303738,29,5.501823887,5.570286655
10,29,304663,30,6.186129187,6.045705792
10,30,304664,31,10.10947958,9.505791912
10,31,306600,32,5.729925654,5.683574646
10,32,306676,33,5.501823887,5.464409916
10,33,306677,34,5.364962827,5.364194324
10,34,306474,35,5.593064594,5.587580323
10,35,305263,36,5.958027421,5.998610418
10,36,305264,37,5.729925654,5.823668292
10,37,305265,38,6.733573428,6.627610948
10,38,306476,39,8.284665443,7.721713018
10,39,307114,40,7.144156608,7.168217538
10,40,306622,41,7.554739788,8.039510281
10,41,305271,42,6.414230954,6.303953832
10,42,305272,43,6.414230954,6.525386999
10,43,306623,44,5.501823887,5.472980314
10,44,307121,45,5.091240707,5.099559567
10,45,305155,46,6.003647774,6.009804674
10,46,305156,47,6.094888481,6.116176336
10,47,305157,48,7.96532297,8.331262641
10,48,305159,49,7.691600848,8.016606258
10,49,308186,50,7.782841555,7.628674569
10,50,305284,51,7.919702614,7.931715462
10,51,308187,52,5.6843053,5.56746899
10,52,305286,53,8.330285796,7.603122476
