scenario_number,stop_index,stop_id,stop_sequence,stop_name,baseline_ridership,scenario_ridership
6,48,305159,49,MANHATTAN AV/GREENPOINT AV,93.94057377,97.36502168
6,49,308186,50,MANHATTAN AV/INDIA ST,97.125,103.4910318
6,50,305284,51,MANHATTAN AV/EAGLE ST,101.9016393,118.9718196
6,51,308187,52,MANHATTAN AV/CLAY ST,23.88319672,28.48327869
6,52,305286,53,BOX ST/MANHATTAN AV,116.2315574,105.3907831
7,0,901736,1,LINCOLN RD/OCEAN AV,203.8032787,223.4762836
7,1,303710,2,EMPIRE BLVD/WASHINGTON AV,35.02868852,31.5737939
7,2,303711,3,EMPIRE BLVD/BEDFORD AV,11.1454918,11.645553
7,3,303712,4,EMPIRE BLVD/ROGERS AV,74.83401639,69.72835703
7,4,303713,5,EMPIRE BLVD/NOSTRAND AV,294.5594262,286.3085994
7,5,303714,6,EMPIRE BLVD/NEW YORK AV,39.80532787,35.33283233
7,6,306974,7,EMPIRE BLVD/BROOKLYN AV,15.92213115,14.80695388
7,7,306322,8,EMPIRE BLVD/LAMONT CT,44.58196721,54.47414554
7,8,303717,9,KINGSTON AV/MONTGOMERY ST,27.06762295,21.69144512
7,9,303718,10,KINGSTON AV/CARROLL ST,4.776639344,4.636498093
7,10,308136,11,KINGSTON AV/UNION ST,240.4241803,225.9840228
7,11,303720,12,KINGSTON AV/SAINT JOHNS PL,19.10655738,22.83790227
7,12,303722,13,KINGSTON AV/PROSPECT PL,19.10655738,22.72649771
7,13,303723,14,KINGSTON AV/BERGEN ST,9.553278689,10.18164681
7,14,303724,15,KINGSTON AV/PACIFIC ST,3.18442623,2.732039426
7,15,303725,16,KINGSTON AV/ATLANTIC AV,11.1454918,8.628417438
7,16,303726,17,KINGSTON AV/FULTON ST,366.2090164,306.7076287
7,17,303727,18,THROOP AV/FULTON ST,11.1454918,11.57540551
7,18,303728,19,THROOP AV/MACDONOUGH ST,4.776639344,3.88738558
7,19,303729,20,THROOP AV/HALSEY ST,9.553278689,9.131936536
7,20,303730,21,THROOP AV/JEFFERSON AV,28.65983607,29.19714523
7,21,303731,22,THROOP AV/MADISON ST,30.25204918,32.06032075
7,22,303732,23,THROOP AV/GATES AV,20.69877049,19.30747465
7,23,303733,24,THROOP AV/GREENE AV,19.10655738,19.55549725
7,24,303734,25,THROOP AV/LAFAYETTE AV,22.29098361,19.80819377
7,25,303735,26,THROOP AV/DE KALB AV,46.17418033,54.45842004
7,26,303736,27,THROOP AV/HART ST,81.20286885,81.8603108
7,27,303737,28,THROOP AV/MYRTLE AV,65.2807377,62.18292575
7,28,303738,29,THROOP AV/PARK AV,17.51434426,17.36260423
7,29,304663,30,FLUSHING AV/THROOP AV,41.39754098,37.00622215
7,30,304664,31,FLUSHING AV/BROADWAY,178.3278689,162.8239985
7,31,306600,32,GRAHAM AV/COOK ST,25.47540984,26.48146639
7,32,306676,33,GRAHAM AV/SEIGEL ST,17.51434426,18.4048698
7,33,306677,34,GRAHAM AV/JOHNSON AV,12.73770492,12.10678724
7,34,306474,35,GRAHAM AV/SCHOLES ST,20.69877049,23.12329743
7,35,305263,36,GRAHAM AV/GRAND ST,33.43647541,28.74187013
7,36,305264,37,GRAHAM AV/AINSLIE ST,25.47540984,20.80792405
7,37,305265,38,GRAHAM AV/METROPOLITAN AV,60.50409836,55.72012427
7,38,306476,39,GRAHAM AV/JACKSON ST,114.6393443,129.8945854
7,39,307114,40,GRAHAM AV/MEEKER AV,74.83401639,73.21949144
